file,class,polygon_idx,n_polygons,valid,validity_reason,area_ha,centroid_lat,centroid_lon,in_up_bbox,district,approx_pixels_10m,neg_subtype
1.kml,sugarcane,0.0,1,True,Valid,0.2195641265409076,29.19856775221921,77.58546784176326,True,Meerut,22,
10.kml,sugarcane,0.0,1,True,Valid,0.12939980707985232,29.201496060201624,77.58415757083169,True,Muzaffarnagar,13,
100.kml,sugarcane,0.0,1,True,Valid,0.06671707153962993,29.21677560472728,77.58724968960856,True,Muzaffarnagar,7,
101.kml,sugarcane,0.0,1,True,Valid,0.5473281853021695,29.18442438554673,77.61273898462424,True,Meerut,55,
102.kml,sugarcane,0.0,1,True,Valid,0.4255661817275338,29.178970301607418,77.61133759863097,True,Meerut,43,
103.kml,sugarcane,0.0,1,True,Valid,0.46494904865386844,29.176784109583426,77.6107223338772,True,Meerut,46,
104.kml,sugarcane,0.0,1,True,Valid,0.6849946915198288,29.173954211316367,77.61002072651212,True,Meerut,68,
105.kml,sugarcane,0.0,1,True,Valid,1.4346193156608558,29.173182777524303,77.60843002180442,True,Meerut,143,
106.kml,sugarcane,0.0,1,True,Valid,0.2882005275804608,29.172836525062635,77.6094414996601,True,Meerut,29,
107.kml,sugarcane,0.0,1,True,Valid,0.9397740594485969,29.16824264937436,77.60135885901613,True,Meerut,94,
108.kml,sugarcane,0.0,1,True,Valid,0.4670782474310744,29.16755322881746,77.59990841013001,True,Meerut,47,
109.kml,sugarcane,0.0,1,True,Valid,0.2844432514546963,29.167242278688065,77.59892310371241,True,Meerut,28,
11.kml,sugarcane,0.0,1,True,Valid,0.12374369440914745,29.201889468505335,77.58415076065664,True,Muzaffarnagar,12,
110.kml,sugarcane,0.0,1,True,Valid,0.4271614963070623,29.168119123243038,77.59944870394358,True,Meerut,43,
111.kml,sugarcane,0.0,1,True,Valid,0.7083976153487506,29.169098220605957,77.59908176971541,True,Meerut,71,
112.kml,sugarcane,0.0,1,True,Valid,0.19432938385146012,29.16979912805712,77.59849875843787,True,Meerut,19,
113.kml,sugarcane,0.0,1,True,Valid,0.3549126549355433,29.171503003728873,77.59708582579547,True,Meerut,35,
114.kml,sugarcane,0.0,1,True,Valid,0.8154358910552184,29.1718586306664,77.598194195812,True,Meerut,82,
115.kml,sugarcane,0.0,1,True,Valid,0.3218542590782555,29.17262174151652,77.59742031442859,True,Meerut,32,
116.kml,sugarcane,0.0,1,True,Valid,0.4194658093469313,29.17275302391568,77.59810850633538,True,Meerut,42,
117.kml,sugarcane,0.0,1,True,Valid,0.5743617074345205,29.173408221632023,77.59715378544949,True,Meerut,57,
118.kml,sugarcane,0.0,1,True,Valid,0.31085822723324924,29.173505941085264,77.59819934662809,True,Meerut,31,
119.kml,sugarcane,0.0,1,True,Valid,0.3356129315675792,29.173888830540264,77.59832580258359,True,Meerut,34,
12.kml,sugarcane,0.0,1,True,Valid,0.10907436825363225,29.201408315698362,77.58388271380709,True,Muzaffarnagar,11,
120.kml,sugarcane,0.0,1,True,Valid,0.2711218651374921,29.17482529874151,77.59900154392956,True,Meerut,27,
121.kml,sugarcane,0.0,1,True,Valid,0.1802342111749491,29.175512866573495,77.59839986603853,True,Meerut,18,
122.kml,sugarcane,0.0,1,True,Valid,0.17271903590701101,29.17559603703722,77.59925841353615,True,Meerut,17,
123.kml,sugarcane,0.0,1,True,Valid,0.4862602823691396,29.17593838427977,77.59959619627469,True,Meerut,49,
124.kml,sugarcane,0.0,1,True,Valid,0.13688541700423043,29.176757900246244,77.59971121994471,True,Meerut,14,
125.kml,sugarcane,0.0,1,True,Valid,0.2002112131642315,29.17714442362086,77.5991250129025,True,Meerut,20,
126.kml,sugarcane,0.0,1,True,Valid,0.17883530699144332,29.178717205060074,77.60008577778774,True,Meerut,18,
127.kml,sugarcane,0.0,1,True,Valid,0.17883530699144332,29.178717205060074,77.60008577778774,True,Meerut,18,
128.kml,sugarcane,0.0,1,True,Valid,0.3201859734713713,29.178867668650454,77.60061356059504,True,Meerut,32,
129.kml,sugarcane,0.0,1,True,Valid,0.1474965408217552,29.179089102661568,77.59985615275944,True,Meerut,15,
13.kml,sugarcane,0.0,1,True,Valid,0.5707212439788846,29.20158955214221,77.58326193670881,True,Muzaffarnagar,57,
130.kml,sugarcane,0.0,1,True,Valid,0.20630810332074428,29.179439142713644,77.59995894874031,True,Meerut,21,
131.kml,sugarcane,0.0,1,True,Valid,0.3625530431558267,29.17979665635578,77.60017838446808,True,Meerut,36,
132.kml,sugarcane,0.0,1,True,Valid,0.254520748152073,29.180231684694597,77.60047194070904,True,Meerut,25,
133.kml,sugarcane,0.0,1,True,Valid,0.8072934330722507,29.180380530169135,77.60151267469823,True,Meerut,81,
134.kml,sugarcane,0.0,1,True,Valid,0.36800797979668964,29.180680735001697,77.60081617632454,True,Meerut,37,
135.kml,sugarcane,0.0,1,True,Valid,0.2693481819608116,29.18137850062441,77.60102264855833,True,Meerut,27,
136.kml,sugarcane,0.0,1,True,Valid,0.4572605321288904,29.183100653672252,77.59933802111604,True,Meerut,46,
137.kml,sugarcane,0.0,1,True,Valid,0.2744477680576122,29.18378481138235,77.5998005056877,True,Meerut,27,
138.kml,sugarcane,0.0,1,True,Valid,0.3602206096841303,29.183951059933047,77.60161970383068,True,Meerut,36,
139.kml,sugarcane,0.0,1,True,Valid,0.24422103187311217,29.18421518022205,77.60088372871387,True,Meerut,24,
14.kml,sugarcane,0.0,1,True,Valid,0.19087887280563717,29.202140824179274,77.58349196852413,True,Muzaffarnagar,19,
140.kml,sugarcane,0.0,1,True,Valid,0.16111517419655091,29.185196245955524,77.601339014011,True,Meerut,16,
141.kml,sugarcane,0.0,1,True,Valid,0.15520195371903792,29.18586349972684,77.60171848178005,True,Meerut,16,
142.kml,sugarcane,0.0,1,True,Valid,0.755111060768714,29.186820984852183,77.60168209037097,True,Meerut,76,
143.kml,sugarcane,0.0,1,True,Valid,0.26998976666129787,29.189659774604024,77.60543632192737,True,Meerut,27,
144.kml,sugarcane,0.0,1,True,Valid,0.5860590188018003,29.189960787899984,77.60490733929832,True,Meerut,59,
145.kml,sugarcane,0.0,1,True,Valid,0.32843787177875794,29.19051836024384,77.60450005642933,True,Meerut,33,
146.kml,sugarcane,0.0,1,True,Valid,0.5187403043559843,29.19086287968137,77.60559999725827,True,Meerut,52,
147.kml,sugarcane,0.0,1,True,Valid,0.2788641841595104,29.191250075245403,77.60589221642869,True,Meerut,28,
148.kml,sugarcane,0.0,1,True,Valid,0.4406702249789694,29.19177706972806,77.60502597965207,True,Meerut,44,
149.kml,sugarcane,0.0,1,True,Valid,0.2325775676012584,29.19149133947895,77.60608389154916,True,Meerut,23,
15.kml,sugarcane,0.0,1,True,Valid,0.1638026402535386,29.2024411266012,77.58369112080594,True,Muzaffarnagar,16,
150.kml,sugarcane,0.0,1,True,Valid,0.30949574597114077,29.192042910468874,77.60521450455492,True,Meerut,31,
151.kml,sugarcane,0.0,1,True,Valid,0.2553381360499531,29.192285390189063,77.60565021574364,True,Meerut,26,
152.kml,sugarcane,0.0,1,True,Valid,0.2723813898594202,29.192735517509583,77.6057695353919,True,Meerut,27,
153.kml,sugarcane,0.0,1,True,Valid,0.2936496257691868,29.194808888400843,77.60669693816433,True,Meerut,29,
154.kml,sugarcane,0.0,1,True,Valid,0.42165055313424066,29.195705920151124,77.60738833289238,True,Meerut,42,
155.kml,sugarcane,0.0,1,True,Valid,0.455409259460996,29.204163810642456,77.58900449212673,True,Muzaffarnagar,46,
156.kml,sugarcane,0.0,1,True,Valid,0.36444394201770947,29.204727775451172,77.589342925441,True,Muzaffarnagar,36,
157.kml,sugarcane,0.0,1,True,Valid,0.7559164203136728,29.204799779427496,77.59017810997405,True,Muzaffarnagar,76,
158.kml,sugarcane,0.0,1,True,Valid,0.371811047862843,29.203609139519475,77.59034608159833,True,Muzaffarnagar,37,
159.kml,sugarcane,0.0,1,True,Valid,0.4768817909023919,29.204406281050208,77.59066298837703,True,Muzaffarnagar,48,
16.kml,sugarcane,0.0,1,True,Valid,0.08393059376707393,29.202721896271452,77.58381738238708,True,Muzaffarnagar,8,
160.kml,sugarcane,0.0,1,True,Valid,0.5631524285042623,29.204015760162502,77.59130667085074,True,Muzaffarnagar,56,
161.kml,sugarcane,0.0,1,True,Valid,0.3464986667277286,29.20320738105306,77.59127396931484,True,Muzaffarnagar,35,
162.kml,sugarcane,0.0,1,True,Valid,0.42685916946144314,29.202987028525705,77.5917637364791,True,Muzaffarnagar,43,
163.kml,sugarcane,0.0,1,True,Valid,0.6903926705441661,29.203704419593414,77.59218280356164,True,Muzaffarnagar,69,
164.kml,sugarcane,0.0,1,True,Valid,0.48532319002783325,29.20361470797523,77.59283720872378,True,Muzaffarnagar,49,
165.kml,sugarcane,0.0,1,True,Valid,0.589992254951407,29.202699562356067,77.59232807581161,True,Muzaffarnagar,59,
166.kml,sugarcane,0.0,1,True,Valid,0.3851032215923736,29.203401468329915,77.59321791391491,True,Muzaffarnagar,39,
167.kml,sugarcane,0.0,1,True,Valid,0.3851032215923736,29.203401468329915,77.59321791391491,True,Muzaffarnagar,39,
168.kml,sugarcane,0.0,1,True,Valid,0.8027737616518613,29.203164860748338,77.593767643269,True,Muzaffarnagar,80,
169.kml,sugarcane,0.0,1,True,Valid,0.8186165175123732,29.202350815079242,77.59304660368049,True,Muzaffarnagar,82,
